Node_ID,Var2,Var3
0,58.3,69.6
1,81.6,50
2,88,53.6
3,98.9,44.6
4,0.1,12.4
5,86.6,49.1
6,61.3,85.3
7,99,87.4
8,52.8,27.1
9,48,20.9
10,80.2,56.5
11,22.8,64.1
12,49.9,41.8
13,90.1,20.6
14,57.5,94.8
15,84.6,8.3
16,73.9,10.6
17,58.6,14.3
18,24.7,16.7
19,66.7,62.1
20,8.4,57.4
21,62.6,5.3
22,66.1,93.2
23,73,72.9
24,89.1,73.8
25,98.3,6.4
26,77,86.1
27,58.2,93.5
28,92.9,98.5
29,58.1,85.9
30,1.7,78.6
31,12.1,51.4
32,86.3,17.8
33,48.5,39.9
34,84.5,13.4
35,21,3.1
36,55.3,94
37,63,30.2
38,3.2,29.6
39,61.5,33.3
40,36.3,46.8
41,5,64.9
42,49,2.6
43,19.3,84.3
44,12.4,56
45,20.6,85.5
46,14.7,34.8
47,19,44.7
48,4.3,5.5
49,63.6,17.8
50,28.2,66.3
51,53.9,33.1
